uniprot,Mean Diff.,Discovery?,q value,Individual P Value
O55057,-0.09063,No,1.00,0.47
O55060,-0.01359,No,1.00,0.91
O55091,-0.1791,No,0.79,0.16
O55098,-0.07166,No,1.00,0.57
O55102,-0.0831,No,1.00,0.51
O55106,0.005524,No,1.00,0.97
O55125,-0.05852,No,1.00,0.64
O55126,-0.1676,No,0.85,0.19
O55128,-0.1416,No,0.95,0.26
O55131,-0.0383,No,1.00,0.76
O55135,0.06159,No,1.00,0.63
O55137,-0.08947,No,1.00,0.48
O55142,-0.2941,No,0.25,0.02
O55143,-0.1031,No,1.00,0.42
O55176,-0.2695,No,0.34,0.03
O55186,0.001162,No,1.00,0.99
O55187,-0.09557,No,1.00,0.45
O55201,-0.0831,No,1.00,0.51
O55222,-0.08418,No,1.00,0.51
O55229,-0.07422,No,1.00,0.56
O55234,0.05102,No,1.00,0.69
O55236,-0.154,No,0.90,0.22
O55239,0.09822,No,1.00,0.44
O55242,0.0444,No,1.00,0.73
O70126,0.2236,No,0.56,0.08
O70131,-0.06743,No,1.00,0.59
O70133,0.03996,No,1.00,0.75
O70139,0.04808,No,1.00,0.70
O70152,0.07828,No,1.00,0.54
O70157,-0.9136,Yes,0.00,0.00
O70161,-0.03267,No,1.00,0.80
O70172,-0.1638,No,0.86,0.20
O70194,-0.05428,No,1.00,0.67
O70230,-0.06457,No,1.00,0.61
O70251,-0.0169,No,1.00,0.89
O70252,0.0273,No,1.00,0.83
O70258,-0.09845,No,1.00,0.44
O70274,-0.009672,No,1.00,0.94
O70279,0.02964,No,1.00,0.82
O70281,0.1515,No,0.91,0.23
O70293,-0.2842,No,0.29,0.02
O70303,-0.2432,No,0.46,0.06
O70305,-0.001447,No,1.00,0.99
O70309,-0.1515,No,0.91,0.23
O70310,0.03173,No,1.00,0.80
O70311,0.1006,No,1.00,0.43
O70318,0.00927,No,1.00,0.94
O70325,0.01246,No,1.00,0.92
O70326,0.1843,No,0.77,0.15
O70348,-0.07658,No,1.00,0.55
