"uniprot","main_gene","protein_name","I3_1","I3_2","I3_3","I3_4","I9_1","I9_2","I9_3","I9_4","I15_1","I15_2","I15_3","I15_4","I21_1","I21_2","I21_3","I21_4","pval","Phase","Amplitude"
"P60867","Rps20","40S ribosomal protein S20",1224776.17872113,1088796.4794992,1165892.85640039,1195805.97161253,1199349.92755837,1075791.58312054,1228977.08644308,712768.863922507,1129154.93572204,1209239.58818852,1139696.14008389,1207969.19902933,1247515.06470674,1259550.286898,1120103.31113166,1025504.82499105,0.264391399973557,21.25,63452
"P60879","Snap25","Synaptosomal-associated protein 25",973469.763390089,847756.482753246,660891.032115504,975711.686959517,921822.636176155,752021.453603959,893049.658708324,716469.59600862,836067.311035428,853045.093500036,948810.681560263,867013.975001085,890805.467402585,818740.31081196,833056.385593622,781446.312629752,0.22266957601014,17.96,10806
"P60879-2","Snap25","Synaptosomal-associated protein 25",126160.398030788,110168.990567867,70940.3290867242,108512.361703571,115716.687998367,140449.25137332,110293.721102307,117498.126633126,114920.57610477,108830.786530538,96896.2551707188,143787.528271832,101618.338939156,88294.0453695353,100071.048473963,112586.535725478,0.126994470778387,11.63,10525
"P60882","Megf8","Multiple epidermal growth factor-like domains protein 8",14943.8934695468,12291.5062458729,11637.6156985899,12826.5199124557,12921.0482918628,15180.0235856519,12893.1906776615,10348.9616544718,13211.5325182133,12395.5409672585,13500.3040683455,12193.7742476964,11955.7767818439,11054.905207165,14026.085774402,10909.4643918716,0.168355309004035,9.45,302.9
"P60898","Polr2i","DNA-directed RNA polymerase II subunit RPB9",36199.2905847481,29972.1275466257,33164.3473619173,39128.8900250954,35712.6809182208,37839.7655603242,37624.2115041364,28269.9792653393,35464.4146237,34600.2855392944,35207.8694569648,36758.9194050659,38094.7762733575,35295.5045471421,34404.8648468326,32872.3352222286,0.264391399973557,16.6,351
"P60904","Dnajc5","DnaJ homolog subfamily C member 5",6197911.72980726,5478408.73850102,5857803.97156303,6199336.57250811,6142316.88612151,6137769.58941199,6161312.03318073,5197787.41470064,5757655.99358245,5966863.32612885,5967798.20687481,5789497.91403112,5537702.37643763,6067571.64616873,5974691.1319705,6138864.57939343,0.148229518552551,1.41,29508
"P61021","Rab5b","Ras-related protein Rab-5B",1050050.80370848,1014850.49073796,1024371.50878138,994426.511005945,967894.121118085,1011632.88336242,912298.109956214,1257527.72714665,953271.585667133,949742.449750619,1044439.36411252,1072577.66788223,928969.886691154,1001165.97861386,1061175.95735319,1201090.92270792,0.264391399973557,1.43,8877
"P61022","Chp1","Calcineurin B homologous protein 1",427483.583362777,410467.26213887,606254.893366606,459127.548876039,403862.272102871,467444.698672633,466648.73737572,437760.650014074,434267.980975495,498265.112406576,536972.933307953,453913.03649632,448679.698907475,466359.052033997,473070.076627393,470688.456862308,0.168355309004035,19.84,30553
"P61027","Rab10","Ras-related protein Rab-10",498125.682274342,547018.80405649,384248.120398946,512850.229533551,537098.617394965,531796.872741508,503073.051384351,411487.986298325,473547.673451672,567855.974473441,467014.681063274,458092.63994198,528262.992946103,451158.865274086,462921.332969367,407025.461180994,0.168355309004035,10.85,13829
"P61028","Rab8b","Ras-related protein Rab-8B",264220.527723331,259438.034335046,253936.147073416,249202.970396829,257092.959460129,263907.230471229,241030.457072133,309343.201679907,259456.602857926,257288.422911875,310557.603188003,250207.562817674,240417.429237924,254207.801716715,278451.350798095,268569.192529795,0.24191058471304,13.08,6559
"P61080","Ube2d1","Ubiquitin-conjugating enzyme E2 D1",62032.2534395147,65985.6224088708,62468.8113846617,58171.7858872034,53764.397399839,64103.4021708627,62305.5289532408,74449.9061602681,65410.8902999763,54579.4157277789,49354.2163128228,59918.9454367333,50041.5519128882,68588.1148033545,63049.953744068,66680.2237516317,0.168355309004035,4.23,3193
"P61082","Ube2m","NEDD8-conjugating enzyme Ubc12",719784.513439278,684568.172518535,551435.08720553,718455.779083418,734460.30805715,697046.789871462,661307.682459463,568830.811057816,740695.352975189,700669.801352712,665241.863453706,668191.709774785,696590.917033359,640890.393326492,636180.25151979,562594.334467769,0.148229518552551,12.82,17211
"P61087","Ube2k","Ubiquitin-conjugating enzyme E2 K",442803.472227701,412135.882525236,412381.575219518,397818.608743791,411720.607673827,396974.828913223,413349.760487255,406419.684753122,363103.210280601,397245.590203997,390143.951954727,419631.509628522,395708.645392859,401903.493578782,391415.162485472,423164.843668658,0.129851554065088,3.6,9346
"P61089","Ube2n","Ubiquitin-conjugating enzyme E2 N",4962937.34321618,5076910.62322781,5040361.6733008,4983631.99655542,4549996.00140266,5126663.70009351,4521585.37791405,5731146.79706737,5249941.73986238,4829939.34293224,4854495.20374446,4807563.30009847,4798555.18457856,4622557.86787261,4898367.41746588,5222575.30940976,0.24191058471304,6.82,40488
"P61148","Fgf1","Fibroblast growth factor 1",115229.637385467,138735.307840156,272341.024895902,127832.458811294,105743.500253755,139145.014580989,113206.272595275,122135.405683923,100502.373698529,123483.133643567,156489.795747946,111851.045526909,145115.317574888,121611.271716182,137809.160264812,95016.9023678423,0.191751360355969,2.27,15206
"P61161","Actr2","Actin-related protein 2",1784405.67379211,1644380.29015428,1498684.39299788,1911135.70951052,1927648.15095444,1623945.79959378,1908378.19404772,1908454.92009907,1778841.31412965,1888385.33610409,1768540.80879467,1761601.5580767,1796645.24549395,1795368.05364167,1760022.80835354,1897811.59311322,0.168355309004035,13.66,36542
"P61164","Actr1a","Alpha-centractin",217749.012526219,222954.782921401,212932.751755765,220353.905775485,205913.178540449,220898.642666446,224501.178960038,162499.605699163,217827.578720293,225995.620871731,224359.240009345,208365.387324983,222216.137220167,221849.693854689,217777.738030648,177403.835684187,0.205454339460582,20.55,3692
"P61202","Cops2","COP9 signalosome complex subunit 2",1551152.17739021,1626922.6478196,1631054.56999733,1619362.23707551,1467026.5748138,1615585.18337199,1532918.35704255,1811302.90124191,1562716.07663596,1571967.98872674,1641427.3231702,1605151.76165864,1475744.00511389,1638757.40857918,1604349.92461959,1650463.53204791,0.24191058471304,6.08,5949
"P61208","Arl4c","ADP-ribosylation factor-like protein 4C",27002.8159488914,40475.491604774,41360.7264008226,29005.0292948709,25895.1124613305,33406.4853274688,26456.6068165913,39803.6954793496,31512.3775967629,32229.1158811961,36707.8695282685,34774.810933727,36623.4405387651,38909.293465885,32385.6866382309,42483.3304434688,0.144056185980953,21.76,2521
"P61211","Arl1","ADP-ribosylation factor-like protein 1",200175.346931803,209859.559002444,189391.852723699,181772.027472571,217788.736634944,202096.455165192,196473.095976961,240189.375953753,204016.026117467,185439.240119613,254027.391975891,266467.725285718,198553.451385928,194650.94103124,226108.146035047,252247.116484313,0.144056185980953,15.25,11940
"P61215","Ca10","Carbonic anhydrase-related protein 10",26956.5563550255,19207.9149492907,16467.9787394587,21833.7438126252,21368.1232360768,14127.646693204,17270.8240106342,23317.2604869849,11609.9356251493,16836.9388849396,18633.767954282,25294.1340186451,16895.6726727549,24102.596944196,31483.3315665307,27051.3008404663,0.136573014526874,23.99,2842
"P61222","Abce1","ATP-binding cassette sub-family E member 1",419882.981650222,402988.14219358,418688.060955254,419880.929578235,426447.340802328,408871.762957199,398562.571564189,396245.584777324,420515.280276411,397413.75339828,412961.575873147,398219.290995965,424666.401821636,407202.013282141,406037.794735851,406329.69814659,0.205454339460582,1.33,3943
"P61226","Rap2b","Ras-related protein Rap-2b",379276.531455768,311823.452503329,285358.256914765,368070.174133046,368128.715343171,343463.327732216,369693.489461105,359242.06857584,320414.951565572,324256.295127479,327042.81598582,389481.859054429,312635.320999453,343607.108564472,347962.914013345,404395.08053852,0.205454339460582,10.57,4554
"P61255","Rpl26","60S ribosomal protein L26",57805.7779011339,51370.9584454968,25529.0517444546,56942.953304193,56235.4989588854,52646.0623676104,45955.2665172633,21474.5973670157,49555.519483191,49830.6371751815,43950.290520462,43306.0082324622,43472.1452011872,43928.4299355047,39866.8401229571,24913.5022953869,0.121474427674934,11.01,2135
