"uniprot","main_gene","protein_name","V3_1","V3_2","V3_3","V3_4","V9_1","V9_2","V9_3","V9_4","V15_1","V15_2","V15_3","V15_4","V21_1","V21_2","V21_3","V21_4","pval","Phase","Amplitude"
"Q9D7X8","Ggct","Gamma-glutamylcyclotransferase",331710.770633419,372012.986337751,374123.062173799,398903.301068007,390544.856142108,413254.320368828,412346.123362344,378331.402294654,395911.052455136,403858.171238579,381962.415439689,378510.797454373,395785.643535485,373272.448729194,392715.407787784,388569.573991417,0.0772775102241011,13,10127
"Q9D819","Ppa1","Inorganic pyrophosphatase",2224970.42025133,2657000.1737444,2509693.71372842,2664579.05222577,2652292.18372745,2615078.80736943,2623795.36979341,2698100.7872124,2428297.97571695,2499106.23399444,2630190.29246892,2451524.88133545,2519316.45908785,2814091.35589641,2322975.61064734,2484029.63163882,0.111568025456355,9.31,49966
"Q9D824","Fip1l1","Pre-mRNA 3-end-processing factor FIP1",87053.3351134163,95895.6589347388,88206.4842152659,95282.9994131469,84662.1631683756,84091.8782750762,93539.8275759378,93118.1377982943,92700.0760057505,92563.655475965,85856.5560656757,86314.1209098862,92128.0600192744,91143.0192155465,106047.505443291,88748.6028723762,0.132870514408682,23.2,2663
"Q9D832","Dnajb4","DnaJ homolog subfamily B member 4",352616.688654268,386161.365496608,403839.240829177,400941.985969737,362935.343549204,388627.600722407,383582.253158003,373882.934314461,375498.262849187,362383.058628409,373804.555169276,349947.463243308,374922.917068871,396854.614411111,359367.496501223,381276.295185872,0.0837529367618973,2.8,8577
"Q9D850","Tmem68","Transmembrane protein 68",98008.0115697132,107131.327140603,99528.1906046017,109127.774704296,116683.271305396,102591.718592173,89257.2230599871,96214.7699248819,102753.10448994,100643.856911698,95609.1104487177,102612.801494158,107879.569163772,104819.252205258,84138.389183775,101450.117492023,0.233713061441298,5.19,1155
"Q9D853","Mettl10","Protein-lysine N-methyltransferase Mettl10",88579.6795754611,99379.8602489663,96769.9091486712,104423.025190377,95366.9093507455,100782.517371454,110905.132705412,112830.723007866,104078.041666998,99287.4998208634,118108.018587654,101797.833136346,97109.295157462,106516.946863455,105381.202091103,97633.8093809617,0.103064156649108,13.55,3988
"Q9D855","Uqcrb","Cytochrome b-c1 complex subunit 7",3121368.94437115,3324014.1505807,3870123.82248021,3707575.93200611,3646313.32355533,3604392.48119841,3777564.32721367,3543857.06159381,3449976.71323138,3192467.84023555,3373381.56155383,3599417.67859309,3944523.36210931,3689621.73611033,3882803.48389127,3448602.53430623,0.0837529367618973,1.67,65556
"Q9D868","Ppih","Peptidyl-prolyl cis-trans isomerase H",124895.841172154,138555.814132669,144940.32569203,153776.022285146,139656.73417092,138490.177691012,131908.901538056,140187.696977166,133974.74520922,126609.257955847,165344.851844286,131070.330058435,138530.75624761,136412.348950841,143951.159543209,121737.931927265,0.158995409219089,7.32,945
"Q9D880","Timm50","Mitochondrial import inner membrane translocase subunit TIM50",315210.947835434,309614.216228105,340449.772257101,329870.001900094,302322.892463739,373533.733989605,324703.932235158,310064.200410791,350221.696153053,309102.69443508,355321.586911021,368306.545519395,331424.967510175,323237.815657022,387650.562558656,310628.550177292,0.14521094322486,16.78,9078
"Q9D882",NA,"Uncharacterized protein C10orf35 homolog",86559.4141238777,100588.678994428,98787.7223499449,103313.233028649,96707.1868758186,104361.253739346,96949.3454993386,103837.594477939,99536.1070137149,107417.79660755,96972.7248658894,90360.1315777652,98204.0417016778,87781.9846844807,101183.605816115,99731.4433164315,0.315349702112573,10.8,1784
"Q9D883","U2af1","Splicing factor U2AF 35 kDa subunit",189480.76640334,269433.150690556,208443.943258397,265808.736551662,235115.680425818,229326.931337542,212572.678020104,249452.120442149,236197.762849037,160376.62990983,247226.225190137,223924.006344569,217654.818673365,219584.355953847,269133.659089229,201037.683291058,0.28478166684765,4.21,6717
"Q9D892","Itpa","Inosine triphosphate pyrophosphatase",759077.436528132,833434.515250121,928343.460238184,830059.491100753,828742.730460678,850720.610713846,768915.90133128,838540.221916146,863451.020548698,859255.207325753,846868.738068526,849113.419790027,804171.163117412,805105.443859757,687177.923435363,855119.183982785,0.0772775102241011,12,15716
"Q9D898","Arpc5l","Actin-related protein 2/3 complex subunit 5-like protein",619284.778443598,677985.197208497,639449.214461272,689324.589315905,660151.721300869,672808.848936304,588606.644448578,594658.837579617,644064.759872978,643757.681126459,715873.438838431,673172.060845124,598187.90437106,602272.144463046,577038.595660461,675730.826134557,0.14521094322486,13.43,9142
"Q9D8B3","Chmp4b","Charged multivesicular body protein 4b",588752.930060435,842805.517537925,689013.78965031,690513.614729058,748306.321465596,769021.408429995,762788.577474716,617545.669602229,674789.269821774,709242.68582755,715731.068495677,681801.474733383,672383.905053615,626028.413871654,786646.649359797,709901.319006364,0.233713061441298,9.38,10851
"Q9D8B4","Ndufa11","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11",1692947.09804947,1977187.85840692,1737303.21087106,1717062.31603457,1902119.40547035,1754309.27917779,1796590.60748027,1843933.17871791,1855293.20554726,1625186.08320313,1895358.7359744,1855053.99497543,1787728.95437345,1840415.26038886,1875247.62083188,1937385.35144281,0.14521094322486,18.25,16381
"Q9D8B7","Jam3","Junctional adhesion molecule C",251367.342316203,271210.622744367,277206.233285046,267266.166484746,281083.539800332,263900.910956707,303749.507300037,259849.122133359,283762.008195681,263860.830517351,227921.871298004,279564.936221825,292631.519093223,298324.08745215,315636.745613685,299411.03127348,0.0717662087945772,22.63,9547
"Q9D8C2","Tspan13","Tetraspanin-13",10207.8130816116,13358.4010049186,11880.1356488175,13405.8693552972,12454.5797457697,12433.9488357404,11084.36330905,13405.6040391974,13783.7544753635,15638.2347713566,13305.2047156644,13507.5688468289,12877.1132073857,11457.4029233809,11136.657128252,13644.5111391967,0.0837529367618973,15.11,1120
"Q9D8C3","Alg13","Putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13",7185.09642803791,9986.66602017235,11181.6325505854,8876.61527660605,6808.08590290802,8767.89666880703,10219.8247634752,11450.6991946408,10704.1824852492,8423.81279386258,8287.5564325346,10911.7109625436,9668.45461199979,7927.69152894223,13549.5528119082,10014.582791537,0.382389110383831,20.37,339.8
"Q9D8E6","Rpl4","60S ribosomal protein L4",1093946.39665518,1225951.21322904,1397749.77832838,1203882.34880332,1411385.14161817,1255850.5202443,1259975.3320717,1115963.05309856,1328906.71942571,1323563.627184,1355944.04311714,1308075.42993709,1357045.70437657,1226699.8213272,819640.259355514,1300218.14201775,0.103064156649108,12.69,57851
"Q9D8L5","Ccdc91","Coiled-coil domain-containing protein 91",107849.053066342,127324.883766033,104775.886892442,106534.67479233,123153.298436064,105731.620277195,122406.524788316,124425.554035174,128066.238628004,129145.898945506,123031.603316875,131494.730976332,112636.689760743,114244.203005846,140132.437153195,133579.539294143,0.0670355818394528,16.23,5733
"Q9D8N0","Eef1g","Elongation factor 1-gamma",1629075.40437995,1837403.15621225,1815328.96649317,1884836.92277207,2013078.09517005,1933814.07391876,1863231.93730465,1732372.60021703,1882149.79345744,1926118.73896595,1737572.35878245,1791258.34812021,1884160.02556146,1876153.8487517,1836449.35682221,1768110.57757835,0.191827664342425,11.92,27770
"Q9D8N2","Fam45a","Protein FAM45A",146431.0269871,152794.48071445,154810.018812626,149648.286383065,180486.647622569,145545.411837913,171753.203845687,171267.245557525,165599.627946473,168435.726751211,165766.674430152,154592.225667992,159399.950317817,165612.452008926,145768.480078663,164563.399571064,0.0524807262704558,12.79,6899
"Q9D8S3","Arfgap3","ADP-ribosylation factor GTPase-activating protein 3",108997.760377234,121986.143278583,109401.45838586,121855.562424456,114242.687482654,125153.958852296,116397.431817272,114086.571521655,113014.343965225,112772.70078972,112175.560761146,110759.97785839,115294.393477507,120131.258031181,109674.99762036,114179.309411298,0.111568025456355,5.77,1658
"Q9D8S4","Rexo2","Oligoribonuclease, mitochondrial",235743.093471119,277464.94705893,293256.432978629,292331.268445872,276185.623984613,303211.598975252,309514.401350844,311548.929762855,272494.638650973,286603.498309719,293424.949801954,277006.38115266,271328.698370518,280475.821218661,317092.875833084,276842.376208731,0.14521094322486,11.05,7295
"Q9D8S9","Bola1","BolA-like protein 1",20780.4855939901,23444.5531871677,20694.6098514328,25171.4294280923,22733.1331230861,21396.3504348746,25802.8715540274,22757.4423660721,25269.1269180727,20827.3386892919,24516.5088308568,25333.446821544,20835.2535792376,25978.0560836991,20275.7408407198,23729.1719658081,0.158995409219089,13.88,687
