Experiment ID,22141.0,
Experiment name,Liver digitonin prot log2,
Job,9e336919-5e29-48b2-a126-7133a830f7db,
Submitted,2022-08-22T16:31:46.852642503,Finished,2022-08-22T16:31:52.364037939,
Method,MFourFit,
Params,amp&baseline dtr min-48.0 p(23.0-25.0),


Summary statistics,
Phase/Amplitude method,by fit,

Group Label,N,,Period,Period Std,,Circ. Phase To Zero,Circ. Phase To Window,Circ. Phase Std,Abs Phase To Zero,Abs Phase To Window,Abs Phase Std,,Amplitude,Amplitude Std,,GOF,ERR,
O09012,1,,23.1,0.0,,23.15,23.15,0.0,22.28,22.28,0.0,,0.01,0.0,,1.0,1.0,
O09044,1,,23.1,0.0,,1.62,1.62,0.0,1.56,1.56,0.0,,0.13,0.0,,1.0,1.0,
O09061,1,,23.1,0.0,,6.45,6.45,0.0,6.21,6.21,0.0,,0.02,0.0,,1.0,1.0,
O09106,1,,23.1,0.0,,1.58,1.58,0.0,1.52,1.52,0.0,,0.08,0.0,,1.0,1.0,
O09110,1,,23.1,0.0,,0.53,0.53,0.0,0.51,0.51,0.0,,0.04,0.0,,1.0,1.0,
O09111,1,,23.1,0.0,,18.96,18.96,0.0,18.25,18.25,0.0,,0.02,0.0,,1.0,1.0,
O09130,1,,23.1,0.0,,17.24,17.24,0.0,16.59,16.59,0.0,,0.12,0.0,,1.0,1.0,
O09131,1,,23.1,0.0,,2.48,2.48,0.0,2.39,2.39,0.0,,0.04,0.0,,1.0,1.0,
O09158,1,,23.1,0.0,,19.37,19.37,0.0,18.64,18.64,0.0,,0.1,0.0,,1.0,1.0,
O09159,1,,23.1,0.0,,12.51,12.51,0.0,12.04,12.04,0.0,,0.04,0.0,,1.0,1.0,
O09164,1,,23.1,0.0,,7.34,7.34,0.0,7.07,7.07,0.0,,0.08,0.0,,1.0,1.0,
O09167,1,,23.1,0.0,,23.75,23.75,0.0,22.86,22.86,0.0,,0.11,0.0,,1.0,1.0,
